MRR_10	HR_10	MRR_20	HR_20	epoch	hiddenSize	lr	l2	heads
0.4100730627152545	0.6067919213903914	0.4147729145283532	0.6740389847325801	10	256	0.0057197047412405	0.0015494649577447	4
0.4131380032301839	0.604839484044426	0.4177882174502135	0.6714464039944947	10	256	0.0168508185712499	0.0017559102049052	8
0.4035415044080985	0.6062157923374836	0.4084134677360959	0.6760234292481516	30	256	0.0114652149414856	0.0007145565443602	1
0.4091322424477051	0.6090644304324169	0.4138552271238278	0.6764715296226355	10	256	0.0031336204564252	0.0011438759174265	2
0.4042487485450709	0.6086803443971449	0.4091837940583676	0.6789680888519029	10	256	0.0005325757947948	0.0009007377971596	1
0.41092710798965	0.6099606311813847	0.4157770089668358	0.6792241462087507	30	256	0.0078630981509581	6.286032844442866e-05	8
0.4076901162368307	0.6072080145952693	0.4124210987138177	0.674391063598246	10	256	0.0181552737195477	0.000230890894688	2
0.410310487326939	0.6105047530646865	0.4150708375995608	0.6786480171558429	10	256	0.0159064009649966	9.141015089312904e-05	8
0.4031879775990457	0.6074320647825113	0.4079725443944614	0.6757993790609096	30	256	0.0098000060221088	0.0009651207196249	1
0.4060112385809342	0.6064398425247255	0.410788631992957	0.674423070767852	20	256	0.0071975120840413	0.0016129183530194	2
0.4073234563272331	0.6080402010050251	0.4120402318688257	0.6752232500080018	30	256	0.0129557529634085	0.0011513873724506	4
0.4110829905263858	0.6066638927119675	0.4157648712458711	0.6735588771884902	10	256	0.008265643953624	0.0015500942253321	16
0.4079992648511997	0.6074960791217233	0.4128624107769393	0.6769196299971194	20	256	0.0138543257638896	0.0012947888653957	16
0.4087277200886649	0.6094485164676887	0.4134643040317961	0.6772076945235733	20	256	0.0106518755744037	0.0008680176845216	16
0.4083770637638704	0.6011586595397369	0.4131873030863618	0.6700060813622252	10	256	0.0170231647395072	0.0013086301390368	1
0.4075966222783109	0.6073360432736933	0.4124039403735219	0.6761514579265756	20	256	0.013332446069321	0.0003817474309582	4
0.4115379749825866	0.6111769036264123	0.4163905185520244	0.6804404186537785	30	256	0.0081282694878904	0.0001929170173411	8
0.4055175914960506	0.6039752904650642	0.4104017908848222	0.6734948628492783	20	256	0.0116767860329553	0.0007054068936541	2
0.4048377693746256	0.608648337227539	0.409787905851372	0.6794802035655987	30	256	0.0022190672510584	0.001275219169325	1
0.4087642616072984	0.608776365905963	0.4136353567005612	0.6780078737637231	20	256	0.0199522750747802	0.0008411517615422	16
0.4072233577146678	0.6088723874147809	0.4120440091337671	0.6779758665941171	30	256	0.0165697716268039	0.0001664662755702	4
0.4070745243759999	0.6057356847933937	0.411912196015507	0.6749671926511539	20	256	0.0192991538599256	0.0012784818839622	2
0.4097698836920422	0.6099606311813847	0.4145612882366287	0.678487981307813	30	256	0.0099343239115413	0.0003962999746191	16
0.4036531738665016	0.6073360432736933	0.4084496843142408	0.6764395224530295	20	256	0.0078825082120089	0.000949527316064	1
0.4114288457757394	0.6106967960823224	0.4162286193192918	0.6792241462087507	10	256	0.0093986362760286	9.096712879766936e-05	4
0.4089963262881996	0.6074320647825113	0.4137535881361074	0.6750632141599718	30	256	0.0058026321203716	0.0008968237380446	8
0.4093253015659635	0.6090004160932049	0.4141752559584705	0.6775917805588452	10	256	0.0026181062723912	0.0001720871109152	4
0.4060167890305841	0.6100246455205967	0.4109198882847102	0.6798322824312646	30	256	0.0022313836449135	0.0008947406120604	1
0.4082586245350704	0.608648337227539	0.412968531415388	0.6760234292481516	30	256	0.0078604469666848	0.0011158366650618	8
0.4118940293419377	0.6075280862913293	0.41654520706837217	0.674455077937458	10	256	0.019714289410322383	0.0005619530384521474	8
