MRR_10	HR_10	MRR_20	HR_20	epoch	hiddenSize	lr	l2	heads
0.325971220745877	0.6193764926095656	0.3322202855276828	0.7079326147292325	10	256	0.0057197047412405	0.0015494649577447	4
0.3231909136640306	0.617052862583102	0.3295927027936262	0.7079487510488608	10	256	0.0168508185712499	0.0017559102049052	8
0.3260344981707048	0.6184889950300135	0.3322804517378008	0.7071903440263345	30	256	0.0114652149414856	0.0007145565443602	1
0.2344976448959711	0.4591892185631996	0.240986098931224	0.5530195993189146	1	256	0.0057197047412405	0.0015494649577447	4
0.3190198155364985	0.6106220338369018	0.3264261976415858	0.7168423722059196	10	256	0.0057197047412405	0.0015494649577447	4
0.3156904672772513	0.610187298482049	0.3232975223656888	0.7188711371952324	10	256	0.0168508185712499	0.0017559102049052	8
0.3190198155364985	0.6106220338369018	0.3264261976415858	0.7168423722059196	10	256	0.0057197047412405	0.0015494649577447	4
0.3156904672772513	0.610187298482049	0.3232975223656888	0.7188711371952324	10	256	0.0168508185712499	0.0017559102049052	8
0.3185430442630746	0.6145346520305763	0.3257529123946087	0.7174220193457232	30	256	0.0114652149414856	0.0007145565443602	1
0.3187368206469391	0.6118537840089845	0.326104638699001	0.7160815853349274	10	256	0.0031336204564252	0.0011438759174265	2
0.3196536033292907	0.6153678947940441	0.3268340150523883	0.7177842988081006	10	256	0.0005325757947948	0.0009007377971596	1
0.318977937755788	0.6149331594391914	0.326258194048035	0.7182914900554288	30	256	0.0078630981509581	6.286032844442866e-05	8
0.3184811404787494	0.6134478136434446	0.3257600729755627	0.7168423722059196	10	256	0.0181552737195477	0.000230890894688	2
0.3185392058259138	0.6135564974821577	0.3258208417825146	0.7167336883672064	10	256	0.0159064009649966	9.141015089312904e-05	8
0.3207398091649803	0.6150056153316669	0.3277633556787533	0.7152845705176973	30	256	0.0098000060221088	0.0009651207196249	1
0.3179728710187356	0.612868166503641	0.3252365275192624	0.7157555338187878	20	256	0.0071975120840413	0.0016129183530194	2
0.3200463171417415	0.6137014092671087	0.3273754238741387	0.7178205267543383	30	256	0.0129557529634085	0.0011513873724506	4
0.3178759037578731	0.6148969314929537	0.3250804009847985	0.7176756149693874	10	256	0.008265643953624	0.0015500942253321	16
0.3201898200621165	0.6130493062348296	0.3274639535255936	0.7163714089048292	20	256	0.0138543257638896	0.0012947888653957	16
0.2420895751387842	0.4828714343652832	0.2494870846665231	0.5897526024063809	1	256	0.0057197047412405	0.0015494649577447	4
0.3178756188158648	0.610734081384345	0.3248646893003863	0.7102879545761795	10	256	0.0057197047412405	0.0015494649577447	4
0.3160629792000618	0.6106800054075977	0.323041659262754	0.7094497769365959	10	256	0.0168508185712499	0.0017559102049052	8
0.3175257772885189	0.6071380289306476	0.3244681622560436	0.7059078004596459	30	256	0.0114652149414856	0.0007145565443602	1
0.3174653388010154	0.6099499797215088	0.3243209987073682	0.7072056239015817	10	256	0.0031336204564252	0.0011438759174265	2
0.318191255142046	0.6094903339191564	0.3251902972102997	0.7086927132621333	10	256	0.0005325757947948	0.0009007377971596	1
0.3175613773065442	0.6107611193727187	0.3243452406398287	0.707016357982966	30	256	0.0078630981509581	6.286032844442866e-05	8
0.31740439603357	0.6119778288495336	0.32427449121891494	0.7096390428552116	10	256	0.01815527371954773	0.00023089089468806545	2
